,bill_by,budget,budget_by,budget_is_monthly,client.currency,client.id,client.name,code,cost_budget,cost_budget_include_expenses,created_at,ends_on,fee,hourly_rate,id,is_active,is_billable,is_fixed_fee,name,notes,notify_when_over_budget,over_budget_notification_date,over_budget_notification_percentage,show_budget_to_all,starts_on,updated_at
0,none,,none,False,GBP,7394384,Data-centric engineering,,,False,2019-03-12T15:54:37Z,2020-03-31,,,20463792,True,True,False,Uncertainty in Government Modelling,,False,,80.0,False,2019-04-01,2019-03-12T15:54:37Z
1,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T17:05:53Z,2019-12-31,,,20431477,True,True,False,Urban systems resilience,,False,,80.0,False,2019-10-01,2019-03-08T17:05:53Z
2,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T17:04:39Z,2021-03-21,,,20431462,True,True,False,Urban observatory spatial sampling,,False,,80.0,False,2019-04-01,2019-03-08T17:04:39Z
3,none,,none,False,GBP,7444895,SPF,,,False,2019-03-08T17:02:37Z,2019-03-31,,,20431444,True,True,False,Turing ML toolbox,,False,,80.0,False,2018-12-01,2019-03-08T17:02:37Z
4,none,,none,False,GBP,7444895,SPF,,,False,2019-03-08T16:59:58Z,,,,20431406,True,True,False,Synthetic data,,False,,80.0,False,,2019-03-08T16:59:58Z
5,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T16:57:31Z,2019-10-31,,,20431367,True,True,False,Streaming healthcare analytics,,False,,80.0,False,2019-04-01,2019-03-08T16:57:31Z
6,none,,none,False,GBP,7394384,Data-centric engineering,,,False,2019-03-08T16:49:17Z,2019-10-31,,,20431266,True,True,False,Retinopathy,,False,,80.0,False,2019-04-01,2019-03-08T16:49:17Z
7,none,,none,False,GBP,7444895,SPF,,,False,2019-03-08T16:44:45Z,,,,20431197,True,True,False,NHS Digital (Do Not Attend),,False,,80.0,False,,2019-03-08T16:44:45Z
8,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T16:34:36Z,2020-04-30,,,20431088,True,True,False,Machine learning for cancer,,False,,80.0,False,2019-10-01,2019-03-08T16:34:36Z
9,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T16:27:00Z,2019-07-31,,,20430963,True,True,False,Micro-location analytics,,False,,80.0,False,2019-04-01,2019-03-08T16:27:00Z
10,none,,none,False,GBP,7394382,Health,,,False,2019-03-08T15:29:21Z,2020-03-31,,,20430001,True,True,False,Longitudinal time series,,False,,80.0,False,2019-09-01,2019-03-08T15:29:21Z
11,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T15:27:38Z,2020-09-30,,,20429979,True,True,False,"Leeds: Lomax, Malleson, Heppenstall",,False,,80.0,False,2019-04-01,2019-03-08T15:27:38Z
12,none,,none,False,GBP,7444895,SPF,,,False,2019-03-08T14:39:11Z,2019-12-31,,,20429276,True,True,False,Justice,,False,,80.0,False,2018-12-01,2019-03-08T14:39:11Z
13,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T14:37:18Z,2019-12-31,,,20429253,True,True,False,Interpretable AI for health,,False,,80.0,False,2019-10-01,2019-03-08T14:37:18Z
14,none,,none,False,GBP,7394384,Data-centric engineering,,,False,2019-03-08T14:31:16Z,2020-03-31,,,20429175,True,True,False,Fusion modelling- IDEA,,False,,80.0,False,2019-04-01,2019-03-08T14:31:16Z
15,none,,none,False,GBP,7889179,Wellcome Trust,,,False,2019-03-08T14:27:38Z,2021-08-31,,,20429132,True,True,False,Early dementia diagnosis,,False,,80.0,False,2019-09-01,2019-03-08T14:27:38Z
16,none,,none,False,GBP,7343534,Seed,,,False,2019-03-08T14:25:37Z,,,,20429107,True,True,False,CT dead pixel,,False,,80.0,False,,2019-03-08T14:25:37Z
17,none,,none,False,GBP,7444895,SPF,,,False,2019-03-08T14:18:43Z,2020-03-31,,,20429023,True,True,False,Biobank algorithm,,False,,80.0,False,2018-11-01,2019-03-08T14:18:43Z
18,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-08T14:11:55Z,,,,20428941,True,True,False,Auto DL,,False,,80.0,False,,2019-03-08T14:11:55Z
19,none,,none,False,GBP,7889179,Wellcome Trust,,,False,2019-03-08T14:07:05Z,,,,20428882,True,True,False,All in One Cancer imaging optimisation,,False,,80.0,False,,2019-03-08T14:07:05Z
20,none,,none,False,GBP,7889179,Wellcome Trust,,,False,2019-03-08T14:05:46Z,,,,20428867,True,True,False,AI assisted diagnosis of children,,False,,80.0,False,,2019-03-08T14:05:46Z
21,none,,none,False,GBP,7515887,Alan Turing Institute,,,False,2019-03-07T14:39:30Z,,,,20416281,True,True,False,AIDA Wrangling,https://github.com,False,,80.0,False,,2019-03-07T14:39:30Z
22,none,,none,False,GBP,7343536,External,,,False,2019-02-04T09:49:17Z,,,,20024590,True,True,False,Language Models - Leiden,,False,,80.0,False,,2019-02-04T09:49:17Z
23,none,,none,False,GBP,7738296,TIL,,,False,2019-01-30T11:47:34Z,,,,19964414,True,True,False,TIL,,False,,80.0,False,,2019-01-30T11:47:34Z
